Date,Time,Left Distance (cm),Right Distance (cm)
10-09-2026,06:51:13 PM,43.2,17.1
10-09-2026,06:51:33 PM,44.3,16.9
10-09-2026,06:51:53 PM,44.0,16.5
10-09-2026,06:52:13 PM,38.1,40.1
10-09-2026,06:52:33 PM,34.3,40.7
10-09-2026,06:52:53 PM,39.1,40.6
10-09-2026,06:53:13 PM,38.3,40.2
10-09-2026,06:53:33 PM,41.9,40.7
10-09-2026,06:53:53 PM,36.9,40.2
17-09-2026,03:47:17 PM,26.0,42.6
17-09-2026,03:47:37 PM,23.9,18.8
17-09-2026,03:47:57 PM,33.1,50.6
17-09-2026,03:48:28 PM,36.0,28.8
17-09-2026,03:48:47 PM,37.9,77.7
17-09-2026,03:49:29 PM,17.0,41.3
17-09-2026,03:49:49 PM,15.1,33.1
17-09-2026,03:50:29 PM,76.5,30.7
17-09-2026,03:50:49 PM,3.9,25.4
17-09-2026,03:51:29 PM,82.0,16.8
17-09-2026,03:51:49 PM,82.0,16.9
17-09-2026,03:52:09 PM,8.4,167.5
17-09-2026,03:52:29 PM,21.0,23.7
17-09-2026,03:53:25 PM,33.1,47.7
17-09-2026,03:53:45 PM,36.1,61.9
17-09-2026,03:54:05 PM,42.9,55.9
17-09-2026,03:55:17 PM,40.0,59.9
17-09-2026,03:55:36 PM,17.1,55.1
17-09-2026,03:55:56 PM,17.1,56.2
17-09-2026,03:56:16 PM,20.4,35.2
17-09-2026,03:56:36 PM,43.2,58.1
17-09-2026,03:56:56 PM,66.4,31.3
17-09-2026,03:57:16 PM,9.2,6.9
17-09-2026,03:57:36 PM,25.8,6.4
17-09-2026,03:57:56 PM,35.2,44.8
17-09-2026,03:58:16 PM,58.6,28.1
17-09-2026,03:58:36 PM,56.8,44.0
17-09-2026,03:58:56 PM,35.7,24.6
17-09-2026,03:59:16 PM,48.5,22.9
17-09-2026,03:59:36 PM,52.8,23.9
17-09-2026,03:59:56 PM,62.4,18.6
17-09-2026,04:00:16 PM,9.3,18.9
17-09-2026,04:00:36 PM,58.7,41.0
17-09-2026,04:00:56 PM,48.7,40.2
17-09-2026,04:01:16 PM,47.9,42.1
17-09-2026,04:01:36 PM,50.7,43.7
17-09-2026,04:01:56 PM,50.8,43.3
17-09-2026,04:02:16 PM,46.1,43.9
17-09-2026,04:02:36 PM,50.1,43.4
17-09-2026,04:02:56 PM,49.5,43.8
17-09-2026,04:03:16 PM,48.3,44.1
17-09-2026,04:03:36 PM,32.9,8.1
17-09-2026,04:03:56 PM,33.8,8.2
17-09-2026,04:04:16 PM,26.5,8.1
17-09-2026,04:04:36 PM,32.9,8.2
17-09-2026,04:04:57 PM,40.3,8.2
17-09-2026,04:05:17 PM,30.7,7.8
17-09-2026,04:05:38 PM,34.9,7.8
17-09-2026,04:05:58 PM,34.3,7.8
17-09-2026,04:06:18 PM,33.9,7.8
17-09-2026,04:06:38 PM,17.6,7.8
17-09-2026,04:06:58 PM,31.8,7.8
17-09-2026,04:07:18 PM,23.9,9.2
17-09-2026,04:07:38 PM,36.2,9.2
17-09-2026,04:07:58 PM,21.1,9.2
17-09-2026,04:08:18 PM,22.5,9.2
17-09-2026,04:08:38 PM,33.7,9.2
17-09-2026,04:08:58 PM,28.8,9.2
17-09-2026,04:09:18 PM,29.1,9.2
17-09-2026,04:09:38 PM,29.3,9.2
17-09-2026,04:09:58 PM,29.5,9.2
17-09-2026,04:10:18 PM,29.3,6.5
17-09-2026,04:10:38 PM,29.7,6.5
17-09-2026,04:10:58 PM,29.7,6.5
17-09-2026,04:11:18 PM,29.7,6.5
17-09-2026,04:11:38 PM,29.9,7.8
17-09-2026,04:11:58 PM,29.9,7.0
17-09-2026,04:12:18 PM,29.9,6.6
17-09-2026,04:12:38 PM,30.1,7.8
17-09-2026,04:12:58 PM,30.1,6.5
17-09-2026,04:13:18 PM,30.2,6.6
17-09-2026,04:13:38 PM,30.4,6.5
17-09-2026,04:13:58 PM,29.5,6.5
17-09-2026,04:14:18 PM,34.1,6.5
17-09-2026,04:14:38 PM,28.8,6.5
17-09-2026,04:14:58 PM,28.8,7.3
17-09-2026,04:15:18 PM,32.3,6.5
17-09-2026,04:15:38 PM,28.7,6.5
17-09-2026,04:15:58 PM,29.5,6.6
17-09-2026,04:16:18 PM,23.9,6.5
17-09-2026,04:15:23 PM,23.9,6.5
17-09-2026,04:15:43 PM,23.5,6.5
17-09-2026,04:16:03 PM,23.4,6.5
17-09-2026,04:16:23 PM,23.7,7.8
17-09-2026,04:16:43 PM,23.8,6.5
17-09-2026,04:17:03 PM,24.1,6.5
17-09-2026,04:17:23 PM,23.4,7.8
17-09-2026,04:17:43 PM,23.9,6.5
17-09-2026,04:18:03 PM,23.8,6.5
17-09-2026,04:18:23 PM,23.8,5.6
17-09-2026,04:18:43 PM,29.0,5.6
17-09-2026,04:19:03 PM,38.0,6.1
17-09-2026,04:19:23 PM,44.5,5.6
17-09-2026,04:19:43 PM,21.8,20.2
17-09-2026,04:26:33 PM,37.2,19.9
17-09-2026,04:26:53 PM,18.6,21.6
17-09-2026,04:27:13 PM,17.8,22.8
17-09-2026,04:27:32 PM,55.5,43.7
17-09-2026,04:27:52 PM,77.3,55.5
17-09-2026,04:28:25 PM,97.7,6.0
17-09-2026,04:28:44 PM,36.7,31.3
17-09-2026,04:29:04 PM,38.2,33.4
